PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33802532","Facilitatory rTMS over the Supplementary Motor Cortex Impedes Gait Performance in Parkinson Patients with Freezing of Gait","Brugger F, Wegener R, Baty F, Walch J, Krüger MT, Hägele-Link S, Bohlhalter S, Kägi G.","Brain Sci. 2021 Mar 3;11(3):321. doi: 10.3390/brainsci11030321.","Brugger F","Brain Sci","2021","2021/04/03","PMC7999694","","10.3390/brainsci11030321"
"41450755","Short-term associations between ambient air pollution and emergency department visits for Parkinson disease, multiple sclerosis, migraine, and seizure in California, 2005-2018","Chen S, Zhang D, Zhang R, Lane M, Scovronick NC, Ebelt ST, Chang HH.","Environ Epidemiol. 2025 Dec 23;10(1):e444. doi: 10.1097/EE9.0000000000000444. eCollection 2026 Feb.","Chen S","Environ Epidemiol","2025","2025/12/26","PMC12737864","","10.1097/EE9.0000000000000444"
"38948151","Variable frequency deep brain stimulation of subthalamic nucleus to improve freezing of gait in Parkinson's disease","Jia F, Wagle Shukla A, Hu W, Ma Y, Zhang J, Almeida L, Kao C, Guo Y, Zhang S, Tao Y, Ling Z, Xu X, Yang Z, Meng FG, Wan X, Liu H, Konard PE, Li L.","Natl Sci Rev. 2024 Jun 7;11(6):nwae187. doi: 10.1093/nsr/nwae187. eCollection 2024 Jun.","Jia F","Natl Sci Rev","2024","2024/07/01","PMC11214434","","10.1093/nsr/nwae187"
"36931780","Letter in response to Cole-Hunter et al., 2023: What does ""Parkinson's disease mortality"" mean?","Rumrich IK, Kaasinen V, Hänninen O, Hartikainen S, Tolppanen AM.","Environ Int. 2023 Mar;173:107852. doi: 10.1016/j.envint.2023.107852. Epub 2023 Mar 15.","Rumrich IK","Environ Int","2023","2023/03/17","","","10.1016/j.envint.2023.107852"
"35017428","Designing nanocarriers to overcome the limitations in conventional drug administration for Parkinson's disease","Garcia-Munoz RA, McConnell J, Morales V, Sanz R.","Neural Regen Res. 2022 Aug;17(8):1743-1744. doi: 10.4103/1673-5374.332143.","Garcia-Munoz RA","Neural Regen Res","2022","2022/01/12","PMC8820718","","10.4103/1673-5374.332143"
"40469913","Learning to suppress tremors: a deep reinforcement learning-enabled soft exoskeleton for Parkinson's patients","Endrei T, Földi S, Makk Á, Cserey G.","Front Robot AI. 2025 May 21;12:1537470. doi: 10.3389/frobt.2025.1537470. eCollection 2025.","Endrei T","Front Robot AI","2025","2025/06/05","PMC12133501","","10.3389/frobt.2025.1537470"
"36870913","Erratum to ""Neuroprotective repositioning and anti-tau effect of carvedilol on rotenone induced neurotoxicity in rats: Insights from an insilico & in vivo anti-Parkinson's disease study"" [Eur. J. Pharmacol. 932 (2022) 175204]","Kamal RE, Menze E, Albohy A, Ahmed HI, Azab SS.","Eur J Pharmacol. 2023 Apr 15;945:175534. doi: 10.1016/j.ejphar.2023.175534. Epub 2023 Mar 2.","Kamal RE","Eur J Pharmacol","2023","2023/03/04","","","10.1016/j.ejphar.2023.175534"
"38211434","Corrigendum to ""Risk of Parkinson's disease-related death in cancer survivors: A population-based study in Japan"" [Park. Relat. Disord. 119 (2024) 105966]","Hayano E, Gon Y, Kimura Y, Zha L, Morishima T, Ohno Y, Mochizuki H, Sobue T, Miyashiro I.","Parkinsonism Relat Disord. 2024 Mar;120:105990. doi: 10.1016/j.parkreldis.2024.105990. Epub 2024 Jan 10.","Hayano E","Parkinsonism Relat Disord","2024","2024/01/11","","","10.1016/j.parkreldis.2024.105990"
"38302369","Corrigendum to ""Lapatinib ditosylate rescues motor deficits in rotenone-intoxicated rats: Potential repurposing of anti-cancer drug as a disease-modifying agent in Parkinson's disease"" [Eur. J. Pharmacol. 954 (2023) 175875]","Mansour HM, Mohamed AF, Khattab MM, El-Khatib AS.","Eur J Pharmacol. 2024 Mar 5;966:176371. doi: 10.1016/j.ejphar.2024.176371. Epub 2024 Feb 1.","Mansour HM","Eur J Pharmacol","2024","2024/02/01","","","10.1016/j.ejphar.2024.176371"
"40413457","Correction: Microglial activation contributes to cognitive impairments in rotenone-induced mouse Parkinson's disease model","Zhang D, Li S, Hou L, Jing L, Ruan Z, Peng B, Zhang X, Hong JS, Zhao J, Wang Q.","J Neuroinflammation. 2025 May 24;22(1):140. doi: 10.1186/s12974-025-03458-8.","Zhang D","J Neuroinflammation","2025","2025/05/24","PMC12103010","","10.1186/s12974-025-03458-8"
"38886949","Transient receptor potential channels and calcium dysregulation: a pathogenic duo in Parkinson's disease","Saeed I, Ma L.","Neural Regen Res. 2025 Mar 1;20(3):808-810. doi: 10.4103/NRR.NRR-D-24-00172. Epub 2024 May 17.","Saeed I","Neural Regen Res","2025","2024/06/18","PMC11433894","","10.4103/NRR.NRR-D-24-00172"
"38672284","Correction: D'Amico et al. Toxic Exposure to Endocrine Disruptors Worsens Parkinson's Disease Progression through NRF2/HO-1 Alteration. Biomedicines 2022, 10, 1073","D'Amico R, Gugliandolo E, Siracusa R, Cordaro M, Genovese T, Peritore AF, Crupi R, Interdonato L, Di Paola D, Cuzzocrea S, Fusco R, Impellizzeri D, Di Paola R.","Biomedicines. 2024 Apr 10;12(4):834. doi: 10.3390/biomedicines12040834.","D'Amico R","Biomedicines","2024","2024/04/27","PMC11048085","","10.3390/biomedicines12040834"
"33284817","The meaning of home questionnaire revisited: Psychometric analyses among people with Parkinson's disease reveals new dimensions","Andersson N, Nilsson MH, Slaug B, Oswald F, Iwarsson S.","PLoS One. 2020 Dec 7;15(12):e0242792. doi: 10.1371/journal.pone.0242792. eCollection 2020.","Andersson N","PLoS One","2020","2020/12/07","PMC7721182","","10.1371/journal.pone.0242792"
"38705926","Correction to: Connecting the dots between mitochondrial dysfunction and Parkinson's disorder: focus mitochondria-targeting therapeutic paradigm in mitigating the disease severity","Kaur I, Behl T, Sehgal A, Singh S, Sharma N, Aleya L, Bungau S.","Environ Sci Pollut Res Int. 2024 May;31(23):34757. doi: 10.1007/s11356-024-33597-z.","Kaur I","Environ Sci Pollut Res Int","2024","2024/05/05","","","10.1007/s11356-024-33597-z"
"40189991","Corrigendum to ""Dysregulation of serotonergic neurotransmission in Parkinson disease: A key duet"" [Eur. J. Pharmacol. 995 (2025) 177419]","Khowdiary MM, Al-Kuraishy HM, Al-Gareeb AI, Albuhadily AK, Elhenawy AA, Babalghith AO, Shokr MM, Alexiou A, Papadakis M, El-Saber Batiha G.","Eur J Pharmacol. 2025 Jun 5;996:177540. doi: 10.1016/j.ejphar.2025.177540. Epub 2025 Apr 3.","Khowdiary MM","Eur J Pharmacol","2025","2025/04/07","","","10.1016/j.ejphar.2025.177540"
"37154953","A potential imaging biomarker distinguishing neurodegenerative parkinsonism using brainstem MRI shape analysis","Tsai MT, Juan CE, Liu YJ, Juan CJ.","Eur Radiol. 2023 Jul;33(7):4537-4539. doi: 10.1007/s00330-023-09683-0. Epub 2023 May 8.","Tsai MT","Eur Radiol","2023","2023/05/08","","","10.1007/s00330-023-09683-0"
"34465554","Corrigendum to ""NADPH oxidase-derived H2O2 mediates the regulatory effects of microglia on astrogliosis in experimental models of Parkinson's disease"" [Redox Biol. 2017, 12: 162-170]","Hou L, Zhou X, Zhang C, Wang K, Liu X, Che Y, Sun F, Li H, Wang Q, Zhang D, Hong JS.","Redox Biol. 2021 Nov;47:102119. doi: 10.1016/j.redox.2021.102119. Epub 2021 Aug 28.","Hou L","Redox Biol","2021","2021/09/01","PMC8577459","","10.1016/j.redox.2021.102119"
"41184000","Utility of Locus Coeruleus Signal Intensity on High-resolution T1-weighted MR Imaging with Magnetization Transfer for Differentiating Parkinson's Disease from Atypical Parkinsonism","Yoshimatsu Y, Ide S, Ogawa N, Kajio K, Sakamoto T, Futatsuya K, Murakami Y, Hashimoto T, Adachi H, Aoki T.","Magn Reson Med Sci. 2026 Feb 26;25(1):2025-0126. doi: 10.2463/mrms.mp.2025-0126. Epub 2025 Oct 31.","Yoshimatsu Y","Magn Reson Med Sci","2026","2025/11/03","PMC13218839","","10.2463/mrms.mp.2025-0126"
"41216526","Corrigendum to ""Leveraging ANFIS with Adam and PSO optimizers for Parkinson's disease"" [Heliyon Volume 10, Issue 9, May 15, 2024, Article e30241]","Pasha A, Ahmed ST, Painam RK, Mathivanan SK, P K, Mallik S, Qin H.","Heliyon. 2025 Jun 14;11(12):e43492. doi: 10.1016/j.heliyon.2025.e43492. eCollection 2025 Jul.","Pasha A","Heliyon","2025","2025/11/11","PMC12435064","","10.1016/j.heliyon.2025.e43492"
"32668658","Erratum: Cheng, Y.-C., et al. Evidence Supports PA Prescription for Parkinson's Disease: Motor Symptoms and Non-Motor Features: A Scoping Review. Int. J. Environ. Res. Public Health 2020, 17, 2894","Cheng YC, Su CH.","Int J Environ Res Public Health. 2020 Jul 13;17(14):5024. doi: 10.3390/ijerph17145024.","Cheng YC","Int J Environ Res Public Health","2020","2020/07/17","PMC7399979","","10.3390/ijerph17145024"
"33411167","Letter to the Editor regarding Wang Y, Liu Y, Yan H. 2020. Effect of long-term particulate matter exposure on Parkinson's risk","Kawada T.","Environ Geochem Health. 2021 May;43(5):1759-1760. doi: 10.1007/s10653-020-00789-8. Epub 2021 Jan 7.","Kawada T","Environ Geochem Health","2021","2021/01/07","","","10.1007/s10653-020-00789-8"
"40138890","Effect of trunk-centered rehabilitation program associated with specific brace in Parkinsonian with low back pain: A 6-year follow-up case report","David R, Billot M, Cassoudesalle H, Dehail P, Glize B, Compagnat M, de Sèze M.","Parkinsonism Relat Disord. 2025 May;134:107802. doi: 10.1016/j.parkreldis.2025.107802. Epub 2025 Mar 19.","David R","Parkinsonism Relat Disord","2025","2025/03/26","","","10.1016/j.parkreldis.2025.107802"
