PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40782651","Acamprosate and risk of parkinsonism","d'Errico A, Strippoli E, Goldman SM, Blanc PD.","Parkinsonism Relat Disord. 2025 Oct;139:107986. doi: 10.1016/j.parkreldis.2025.107986. Epub 2025 Aug 7.","d'Errico A","Parkinsonism Relat Disord","2025","2025/08/09","","","10.1016/j.parkreldis.2025.107986"
"40678252","Remote AI Screening for Parkinson's Disease: A Multimodal, Cross-Setting Validation Study","Islam MS, Adnan T, Abdelkader A, Liu Z, Ma E, Park S, Azad A, Liu P, Pawlik M, Hartman E, Shelton E, Larson KB, Rahman MS, Schwartz C, Jaffe K, Adams JL, Schneider RB, Freyberg J, Dorsey ER, Hoque E.","Res Sq [Preprint]. 2025 Jun 26:rs.3.rs-6844936. doi: 10.21203/rs.3.rs-6844936/v1.","Islam MS","Res Sq","2025","2025/07/18","PMC12270200","","10.21203/rs.3.rs-6844936/v1"
"34068631","Tooth Loss and Blood Pressure in Parkinson's Disease Patients: An Exploratory Study on NHANES Data","Lyra P, Machado V, Proença L, Mendes JJ, Botelho J.","Int J Environ Res Public Health. 2021 May 10;18(9):5032. doi: 10.3390/ijerph18095032.","Lyra P","Int J Environ Res Public Health","2021","2021/06/02","PMC8126086","","10.3390/ijerph18095032"
"33804349","The Impact of Depression Symptoms in Patients with Parkinson's Disease: A Novel Case-Control Investigation","Jiménez-Cebrián AM, Becerro-de-Bengoa-Vallejo R, Losa-Iglesias ME, López-López D, Calvo-Lobo C, Palomo-López P, Romero-Morales C, Navarro-Flores E.","Int J Environ Res Public Health. 2021 Mar 1;18(5):2369. doi: 10.3390/ijerph18052369.","Jiménez-Cebrián AM","Int J Environ Res Public Health","2021","2021/04/03","PMC7967746","","10.3390/ijerph18052369"
"36253999","Dietary β-carotene and vitamin A and risk of Parkinson disease: A protocol for systematic review and meta-analysis","Wu LY, Chen JX, Chen GS, Gao H, Huo JH, Pang YF, Gao QH.","Medicine (Baltimore). 2022 Oct 14;101(41):e31002. doi: 10.1097/MD.0000000000031002.","Wu LY","Medicine (Baltimore)","2022","2022/10/18","PMC9575799","","10.1097/MD.0000000000031002"
"35329176","Association between Residential Greenness and Incidence of Parkinson's Disease: A Population-Based Cohort Study in South Korea","Jung J, Park JY, Myung W, Lee JY, Ko H, Lee H.","Int J Environ Res Public Health. 2022 Mar 15;19(6):3491. doi: 10.3390/ijerph19063491.","Jung J","Int J Environ Res Public Health","2022","2022/03/25","PMC8951185","","10.3390/ijerph19063491"
"34204597","Acid Precipitation and the Prevalence of Parkinson's Disease: An Ecologic Study in U.S. States","Schwartz GG, Williamson MR.","Brain Sci. 2021 Jun 12;11(6):779. doi: 10.3390/brainsci11060779.","Schwartz GG","Brain Sci","2021","2021/07/02","PMC8231258","","10.3390/brainsci11060779"
"35777740","Association between care rehabilitation and the risk of fracture hospitalization in people with Parkinson's disease","Liu N, Babazono A, Ishihara R, Li Y, Jamal A, Kim SA, Matsuda S.","Geriatr Gerontol Int. 2022 Aug;22(8):628-634. doi: 10.1111/ggi.14428. Epub 2022 Jul 1.","Liu N","Geriatr Gerontol Int","2022","2022/07/01","","","10.1111/ggi.14428"
"31786292","Associations between long-term exposure to ambient air pollution and Parkinson's disease prevalence: A cross-sectional study","Salimi F, Hanigan I, Jalaludin B, Guo Y, Rolfe M, Heyworth JS, Cowie CT, Knibbs LD, Cope M, Marks GB, Morgan GG.","Neurochem Int. 2020 Feb;133:104615. doi: 10.1016/j.neuint.2019.104615. Epub 2019 Nov 29.","Salimi F","Neurochem Int","2020","2019/12/02","","","10.1016/j.neuint.2019.104615"
"32318261","Proactive and Integrated Management and Empowerment in Parkinson's Disease: Designing a New Model of Care","Tenison E, Smink A, Redwood S, Darweesh S, Cottle H, van Halteren A, van den Haak P, Hamlin R, Ypinga J, Bloem BR, Ben-Shlomo Y, Munneke M, Henderson E.","Parkinsons Dis. 2020 Mar 30;2020:8673087. doi: 10.1155/2020/8673087. eCollection 2020.","Tenison E","Parkinsons Dis","2020","2020/04/23","PMC7149455","","10.1155/2020/8673087"
"39855059","Cropland associated with risk of Parkinson's disease in the northern Great Plains","Krzyzanowski B, Beyene KM, Nielsen SS, Killion JA, Racette BA.","Parkinsonism Relat Disord. 2025 Mar;132:107288. doi: 10.1016/j.parkreldis.2025.107288. Epub 2025 Jan 14.","Krzyzanowski B","Parkinsonism Relat Disord","2025","2025/01/24","","","10.1016/j.parkreldis.2025.107288"
"35005616","Automatic Speech Recognition in Noise for Parkinson's Disease: A Pilot Study","Goudarzi A, Moya-Galé G.","Front Artif Intell. 2021 Dec 22;4:809321. doi: 10.3389/frai.2021.809321. eCollection 2021.","Goudarzi A","Front Artif Intell","2021","2022/01/10","PMC8727902","","10.3389/frai.2021.809321"
"32399169","Long-Term Use of Antibiotics and Risk of Parkinson's Disease in the Nurses' Health Study","Palacios N, O'Reilly ÉJ, Schwarzschild MA, Ascherio A.","Parkinsons Dis. 2020 Jan 20;2020:4038375. doi: 10.1155/2020/4038375. eCollection 2020.","Palacios N","Parkinsons Dis","2020","2020/05/14","PMC7201469","","10.1155/2020/4038375"
"35440140","Living in a rural area: a potential risk factor for falls in people with Parkinson disease","Zheng XX, Wu L, Yang C, Yang HT, Ding XL.","Rural Remote Health. 2022 Apr;22(2):7096. doi: 10.22605/RRH7096. Epub 2022 Apr 20.","Zheng XX","Rural Remote Health","2022","2022/04/20","","","10.22605/RRH7096"
"39444804","Neural effects of multisensory dance training in Parkinson's disease: evidence from a longitudinal neuroimaging single case study","Simon JR, Bek J, Ghanai K, Bearss KA, Barnstaple RE, Bar RJ, DeSouza JFX.","Front Aging Neurosci. 2024 Oct 9;16:1398871. doi: 10.3389/fnagi.2024.1398871. eCollection 2024.","Simon JR","Front Aging Neurosci","2024","2024/10/24","PMC11496053","","10.3389/fnagi.2024.1398871"
